time_from_start_sec,q1,q2,q3,q4,q5,dq1,dq2,dq3,dq4,dq5,tau1,tau2,tau3,tau4,tau5
0.000000,0.139593,3.232717,-2.994445,-0.219664,-0.121758,-0.007326,-0.002442,0.007326,-0.007326,-0.036629,-0.002442,-0.006838,-0.007326,-0.002442,-0.003663
0.059912,0.139593,3.226614,-2.982238,-0.218138,-0.121375,-0.007326,-0.271062,0.036631,0.021978,-0.012211,-0.007326,-2.372650,2.166057,0.344322,-0.003663
2.329841,0.139593,3.223181,-2.969650,-0.218901,-0.122525,-0.007326,-0.002442,0.329670,-0.036631,0.012211,-0.007326,-2.659828,2.102564,0.349206,-0.003663
2.379992,0.139593,3.222799,-2.939894,-0.219664,-0.120991,-0.007326,-0.012210,0.710623,-0.021978,0.036629,-0.007326,-2.659828,1.985348,0.344322,-0.003663
2.440000,0.139593,3.214407,-2.883818,-0.239119,-0.120607,-0.007326,-0.168498,0.974360,-0.857143,-0.012211,-0.007326,-2.468376,1.853479,0.461538,-0.003663
2.500144,0.139593,3.192663,-2.817059,-0.326476,-0.120991,-0.007326,-0.466422,1.106228,-1.296703,-0.012211,-0.002442,-2.290598,1.755799,0.476191,-0.003663
2.560222,0.135015,3.155659,-2.746105,-0.398576,-0.121375,-0.095238,-0.749695,1.164835,-1.326008,-0.036629,0.007326,-2.085470,1.716727,0.515263,-0.003663
2.620077,0.127386,3.101490,-2.674769,-0.482119,-0.122142,-0.124542,-1.018315,1.252747,-1.326008,-0.012211,0.007326,-1.894016,1.667888,0.500610,-0.001221
2.679975,0.118230,3.030154,-2.606103,-0.557651,-0.127127,-0.212454,-1.301587,1.120878,-1.296703,-0.183151,0.026862,-1.647863,1.687424,0.485958,0.001221
2.739938,0.099919,2.943559,-2.539345,-0.616779,-0.127127,-0.402931,-1.536019,1.076923,-0.798534,0.012211,0.046398,-1.483761,1.711843,0.422466,-0.003663
2.790436,0.080464,2.862305,-2.485557,-0.654927,-0.126743,-0.505495,-1.692307,1.032967,-0.783882,-0.012211,0.056166,-1.128204,1.750916,0.427350,-0.003663
2.849939,0.052998,2.753966,-2.423758,-0.686971,-0.126743,-0.432234,-1.877900,0.989012,-0.461538,0.036629,0.061050,-0.690598,1.780220,0.368742,-0.003663
2.909906,0.027057,2.636853,-2.363485,-0.715200,-0.126360,-0.564102,-1.975580,1.018314,-0.549450,-0.036629,0.070818,-0.731625,1.804640,0.373627,-0.001221
2.969892,0.006839,2.520884,-2.308934,-0.743811,-0.125977,-0.212454,-1.877900,0.798534,-0.593407,-0.036629,0.026862,-0.594872,1.902320,0.368742,-0.003663
3.020022,-0.008038,2.431238,-2.275364,-0.768226,-0.125977,-0.358974,-1.726496,0.637363,-0.373627,-0.036629,0.036630,-0.362392,1.960928,0.315019,-0.001221
3.079881,-0.027112,2.334343,-2.244464,-0.770514,-0.126360,-0.256411,-1.531136,0.505495,-0.007326,0.012211,0.036630,-0.225641,2.024420,0.271062,-0.003663
3.130138,-0.037031,2.261481,-2.221576,-0.770133,-0.126360,-0.227106,-1.423687,0.329670,-0.007326,-0.012211,0.026862,-0.047863,2.087913,0.256411,-0.003663
3.190000,-0.045804,2.180609,-2.198307,-0.770133,-0.126360,-0.095238,-1.326007,0.300365,-0.007326,-0.036629,0.007326,0.239317,2.078144,0.241758,-0.003663
3.249988,-0.056486,2.103931,-2.178469,-0.769751,-0.126360,-0.285715,-1.257631,0.271063,-0.007326,-0.012211,0.031746,0.458120,2.087913,0.227106,-0.003663
3.310059,-0.070600,2.033740,-2.167025,-0.769751,-0.126360,-0.241758,-1.106227,0.183149,-0.007326,0.036629,0.036630,0.622223,2.112332,0.217339,-0.001221
3.370051,-0.089293,1.974611,-2.163210,-0.769751,-0.126360,-0.256411,-0.905983,0.036631,-0.021978,-0.036629,0.031746,0.799999,2.117216,0.197803,-0.003663
